,episode_id,transition_id,state,action,immediate_reward,delayed_reward,infer_reward,infer_reward_gp,done,next_state,reward,weight,priority,pred_action,pred_reward
42,25,6,[5 1],1,0.0,0,,,False,[6 1],0.0,5.824058663918129e-05,0.8889493252883728,0.0,8.905458450317383
43,25,7,[6 1],1,0.0,0,,,False,[7 1],0.0,6.229803842901508e-05,0.9508798318148357,0.0,9.917176246643066
44,25,8,[7 1],0,0.0,0,,,False,[7 2],0.0,6.647563764318221e-05,1.0146441964454065,0.0,10.917808532714844
45,25,9,[7 2],1,0.0,0,,,False,[8 2],0.0,6.34858014577964e-05,0.9690091331142718,1.0,10.614898681640625
46,25,10,[8 2],0,27.0,0,,,False,[8 3],27.0,7.687745003933441e-05,1.1734112117679314,0.0,12.527210235595703
47,25,11,[8 3],1,0.0,0,,,False,[9 3],0.0,6.040645459884624e-05,0.9220078326371396,1.0,10.348042488098145
48,25,12,[9 3],1,-1.0,26,,,True,[-1 -1],-1.0,7.448412127544558e-05,1.1368808793550205,1.0,11.344690322875977
49,28,0,[0 0],0,0.0,0,,,False,[0 1],0.0,5.124560353414362e-05,0.7821821055460578,1.0,4.585157871246338
50,28,1,[0 1],0,0.0,0,,,False,[0 2],0.0,6.104490943708424e-05,0.9317528237237668,1.0,5.130285739898682
51,28,2,[0 2],0,0.0,0,,,False,[0 3],0.0,6.335593104627516e-05,0.9670268691750026,1.0,5.0580220222473145
52,28,3,[0 3],0,0.0,0,,,False,[0 4],0.0,6.262026394113938e-05,0.9557980884486191,1.0,4.089508533477783
53,28,4,[0 4],0,0.0,0,,,False,[0 5],0.0,5.835337196158795e-05,0.8906708126915985,1.0,3.0520920753479004
54,28,5,[0 5],0,0.0,0,,,False,[0 6],0.0,5.701748932310109e-05,0.870280702655371,1.0,1.8778657913208008
55,28,6,[0 6],0,2.0,0,,,False,[0 7],2.0,6.911759267442742e-05,1.05496941083615,1.0,0.6100397109985352
56,28,7,[0 7],0,0.0,0,,,False,[0 8],0.0,6.622797833930998e-05,1.010864073617274,1.0,-0.6585912704467773
57,28,8,[0 8],1,0.0,0,,,False,[1 8],0.0,6.281243428733857e-05,0.9587312611629077,1.0,-1.926375389099121
58,28,9,[1 8],1,-4.0,0,,,False,[2 8],-4.0,6.990346498056692e-05,1.0669644935888971,1.0,-1.3588809967041016
59,28,10,[2 8],0,0.0,0,,,False,[2 9],0.0,6.19542966724323e-05,0.945633164151943,1.0,-0.7905399799346924
60,28,11,[2 9],1,0.0,0,,,False,[3 9],0.0,6.461614789576088e-05,0.9862620620656202,1.0,-2.059171199798584
61,28,12,[3 9],0,-1.0,-3,,,True,[-1 -1],-1.0,6.79949067877681e-05,1.0378334079376974,1.0,-1.4908292293548584
