,episode_id,transition_id,state,action,immediate_reward,delayed_reward,done,next_state,info,reward,weight,priority,pred_action,pred_reward
26,116,12,[-0.0273629   0.36255059  0.0808631  -0.3353916 ],0,1.0,0.0,False,[-0.02011189  0.16637651  0.07415527 -0.01834417],{},1.0,0.00023293733985557886,1.0,0.0,7.187131404876709
27,116,13,[-0.02011189  0.16637651  0.07415527 -0.01834417],1,1.0,0.0,False,[-0.01678436  0.36036097  0.07378839 -0.28673952],{},1.0,0.00023293733985557886,1.0,0.0,7.208804607391357
28,116,14,[-0.01678436  0.36036097  0.07378839 -0.28673952],0,1.0,0.0,False,[-0.00957714  0.16426852  0.0680536   0.02827287],{},1.0,0.00023293733985557886,1.0,0.0,7.180088043212891
29,116,15,[-0.00957714  0.16426852  0.0680536   0.02827287],1,1.0,0.0,False,[-0.00629177  0.35835188  0.06861906 -0.24218596],{},1.0,0.00023293733985557886,1.0,0.0,7.191559791564941
30,116,16,[-0.00629177  0.35835188  0.06861906 -0.24218596],1,1.0,0.0,False,[ 0.00087527  0.55242998  0.06377534 -0.51245984],{},1.0,0.00023293733985557886,1.0,0.0,7.173384666442871
31,116,17,[ 0.00087527  0.55242998  0.06377534 -0.51245984],1,1.0,0.0,False,[ 0.01192387  0.7465984   0.05352614 -0.78438312],{},1.0,0.00023293733985557886,1.0,0.0,7.0411481857299805
32,116,18,[ 0.01192387  0.7465984   0.05352614 -0.78438312],1,1.0,0.0,False,[ 0.02685584  0.94094558  0.03783848 -1.05975721],{},1.0,0.00023293733985557886,1.0,0.0,6.895551681518555
33,116,19,[ 0.02685584  0.94094558  0.03783848 -1.05975721],0,1.0,0.0,False,[ 0.04567475  0.74534342  0.01664333 -0.75544213],{},1.0,0.00023293733985557886,1.0,0.0,6.7438225746154785
34,116,20,[ 0.04567475  0.74534342  0.01664333 -0.75544213],0,1.0,0.0,False,[ 0.06058162  0.54999605  0.00153449 -0.45756874],{},1.0,0.00023293733985557886,1.0,0.0,6.834483623504639
35,116,21,[ 0.06058162  0.54999605  0.00153449 -0.45756874],1,1.0,0.0,False,[ 0.07158154  0.74509627 -0.00761688 -0.74976759],{},1.0,0.00023293733985557886,1.0,1.0,6.945855140686035
36,116,22,[ 0.07158154  0.74509627 -0.00761688 -0.74976759],1,1.0,0.0,False,[ 0.08648346  0.94032245 -0.02261224 -1.04483771],{},1.0,0.00023293733985557886,1.0,1.0,6.790310382843018
37,116,23,[ 0.08648346  0.94032245 -0.02261224 -1.04483771],0,1.0,0.0,False,[ 0.10528991  0.74550789 -0.04350899 -0.759338  ],{},1.0,0.00023293733985557886,1.0,1.0,6.632656097412109
38,116,24,[ 0.10528991  0.74550789 -0.04350899 -0.759338  ],1,1.0,0.0,False,[ 0.12020007  0.94120148 -0.05869575 -1.06538819],{},1.0,0.00023293733985557886,1.0,1.0,6.7668938636779785
39,116,25,[ 0.12020007  0.94120148 -0.05869575 -1.06538819],1,1.0,0.0,False,[ 0.1390241   1.13704901 -0.08000351 -1.37590022],{},1.0,0.00023293733985557886,1.0,1.0,6.606816291809082
40,116,26,[ 0.1390241   1.13704901 -0.08000351 -1.37590022],0,1.0,0.0,False,[ 0.16176508  0.94301261 -0.10752152 -1.10927254],{},1.0,0.00023293733985557886,1.0,1.0,6.443686485290527
