,episode_id,transition_id,state,action,immediate_reward,delayed_reward,infer_reward,infer_reward_gp,done,next_state,reward,weight,priority,pred_action,pred_reward
0,0,0,[0 0],0,0.0,0,,,False,[0 1],0,5.989106926430739e-05,0.8790368497318478,1.0,3.1363325119018555
1,0,1,[0 1],0,0.0,0,,,False,[0 2],0,6.352549548297458e-05,0.9323802715989876,1.0,3.3289918899536133
2,0,2,[0 2],1,0.0,0,,,False,[1 2],0,5.970242793697073e-05,0.8762681117522426,1.0,2.795135974884033
3,0,3,[1 2],1,5.0,0,,,False,[2 2],0,6.275380534197044e-05,0.9210539740583011,1.0,3.2003207206726074
4,0,4,[2 2],0,0.0,0,,,False,[2 3],0,5.767236415693714e-05,0.8464723359900801,1.0,3.64660906791687
5,0,5,[2 3],0,0.0,0,,,False,[3 3],0,6.291333090263145e-05,0.9233953723338324,1.0,2.994772434234619
6,0,6,[3 3],0,0.0,0,,,False,[3 4],0,6.14068183915168e-05,0.9012838951450113,1.0,3.257051944732666
7,0,7,[3 4],0,0.0,0,,,False,[3 5],0,5.941973726406857e-05,0.8721189869894196,1.0,2.8527488708496094
8,0,8,[3 5],1,0.0,0,,,False,[4 5],0,6.156438517414225e-05,0.9035965439242509,1.0,2.4983112812042236
9,0,9,[4 5],0,0.0,0,,,False,[5 5],0,5.9005536892304325e-05,0.8660396600642883,1.0,2.722465753555298
10,0,10,[5 5],0,0.0,0,,,False,[5 6],0,6.225497452767369e-05,0.9137325040472472,1.0,2.888888120651245
11,0,11,[5 6],0,0.0,0,,,False,[5 7],0,6.227540766350843e-05,0.9140324065130897,0.0,2.6450319290161133
12,0,12,[5 7],0,0.0,0,,,False,[5 8],0,6.90922144559543e-05,1.014084458374408,0.0,2.3248844146728516
13,0,13,[5 8],1,0.0,0,,,False,[6 8],0,6.411233757561107e-05,0.9409935061051989,1.0,1.965135931968689
14,0,14,[6 8],1,0.0,0,,,False,[7 8],0,5.927542290015972e-05,0.8700008474173633,0.0,2.7373545169830322
15,0,15,[7 8],1,0.0,0,,,False,[8 8],0,6.717774604062325e-05,0.9859853059398953,0.0,3.2323784828186035
16,0,16,[8 8],1,0.0,0,,,False,[9 8],0,6.531645271038635e-05,0.9586666181031859,0.0,3.400073528289795
17,0,17,[9 8],0,-3.0,0,,,False,[9 9],0,6.712994814823916e-05,0.9852837638024571,0.0,3.5677685737609863
18,0,18,[9 9],0,-1.0,1,,,True,[-1 -1],1,7.124397543384975e-05,1.0456664156615252,0.0,3.6830170154571533
19,21,0,[0 0],1,0.0,0,,,False,[1 0],0,6.190869744723976e-05,0.9086501049907925,1.0,3.1363325119018555
20,21,1,[1 0],0,0.0,0,,,False,[1 1],0,5.612969412220458e-05,0.8238301653932831,1.0,3.492584228515625
21,21,2,[1 1],0,0.0,0,,,False,[1 2],0,5.3939532593691385e-05,0.7916845932056867,1.0,3.8068888187408447
22,21,3,[1 2],0,0.0,0,,,False,[1 3],0,6.423924982250621e-05,0.9405847167556157,1.0,3.2003207206726074
23,21,4,[1 3],1,0.0,0,,,False,[2 3],0,6.140836614256118e-05,0.9013066118909122,1.0,2.7179131507873535
24,21,5,[2 3],0,0.0,0,,,False,[2 4],0,6.572276614257327e-05,0.9646301863583645,1.0,2.994772434234619
25,21,6,[2 4],1,0.0,0,,,False,[3 4],0,5.769056001662886e-05,0.8467394013702452,1.0,2.616234302520752
26,21,7,[3 4],1,0.0,0,,,False,[4 4],0,6.407912015561356e-05,0.9405059653651602,1.0,2.8527488708496094
27,21,8,[4 4],1,0.0,0,,,False,[4 5],0,6.51585987642451e-05,0.9563497545501012,1.0,3.0171549320220947
28,21,9,[4 5],0,0.0,0,,,False,[4 6],0,6.451026021241314e-05,0.9468339204672773,1.0,2.722465753555298
29,21,10,[4 6],1,0.0,0,,,False,[5 6],0,6.481898378830676e-05,0.9513651369395335,1.0,2.378992795944214
30,21,11,[5 6],0,0.0,0,,,False,[5 7],0,6.506966731772587e-05,0.955044484506493,0.0,2.6450319290161133
31,21,12,[5 7],0,0.0,0,,,False,[5 8],0,6.435194594082963e-05,0.9445103005975732,0.0,2.3248844146728516
32,21,13,[5 8],0,0.0,0,,,False,[6 8],0,6.930949860381698e-05,1.017273594504053,1.0,1.965135931968689
